"SampleID","Sample","B.cells","Macrophages.M1","Macrophages.M2","Monocytes","Neutrophils","NK.cells","T.cells.CD4","T.cells.CD8","Tregs","Dendritic.cells","Other","GDPD2","Group"
"TCGA-44-6148-01A-11R-1755-07",NA,0.0407737215970251,0.0157758366211965,0.107105894741368,0,0.0935712171694455,0.0347090938551801,0,0.0126199199648226,0.0301020203421556,0.0373685042659635,0.627973791442843,5.8563011509108,"High"
"TCGA-44-6774-01A-21R-1858-07",NA,0.0193768760270775,0.17630618373167,0.0396079756600758,0,0.0365354698897682,0.023054738353291,0,0,0.0542307368830522,0,0.650888019455065,4.74866346804311,"High"
"TCGA-44-6775-01C-02R-A277-07",NA,0.0906827953935775,0.0812945294377262,0.0588777711439807,0,0.150159591315503,0.0412464595994789,0,0,0.0665534303288575,0.0376356340860771,0.473549788694799,4.88083933006325,"High"
"TCGA-44-6776-01A-11R-1858-07",NA,0.0114763634846367,0.00896056648321094,0.0937522649249908,0,0.0648524176823987,0.0205097853748356,0,0.00291444308312168,0.0210320942837536,0,0.776502064683052,4.33002362918047,"Low"
"TCGA-44-6777-01A-11R-1858-07",NA,0.0346420417135355,0.199083515839139,0.135505210401996,0,0.0726861385802608,0.0203886625748169,0,0.00604284810073364,0.0535288710281419,0,0.478122711761376,4.91072545157818,"High"
"TCGA-44-6778-01A-11R-1858-07",NA,0.057842251482815,0.113695323750632,0.0950424894247854,0,0.103116060895299,0.0189262524592982,0,0.0473116227397412,0.114736949822561,0.0173725084165864,0.431956541008282,4.48317841194197,"Low"
"TCGA-44-6779-01A-11R-1858-07",NA,0.0269792650591895,0.107010243782014,0.0547740881675569,0,0.0765132548336206,0.0180660713346083,0,0.0523715232700398,0.0463042127497237,0.00159851993829113,0.616382820864956,3.5833246741021,"Low"
"TCGA-44-7659-01A-11R-2066-07",NA,0.0242953031730082,0.267150244519327,0.155800043782551,0,0.112164283744771,0.0291665025118454,0,0.00783116792049213,0.0469139009234997,0,0.356678553424505,4.29759692003127,"Low"
"TCGA-44-7660-01A-11R-2066-07",NA,0.0251964191067513,0.0153095710241111,0.027329637837222,0,0.0597588276120941,0.0229326792745688,0,0.00811697436958924,0.028101744286717,0.0288422288930635,0.784411917595883,4.72132803154334,"High"
"TCGA-44-7661-01A-11R-2066-07",NA,0.0211590709787522,0.100149526112005,0.0679235978385238,0,0.123401585713359,0.0114251914319216,0,0.00993256485912195,0.0808821360010626,0,0.585126327065254,4.39387912378351,"Low"
"TCGA-44-7662-01A-11R-2066-07",NA,0.0202769889915323,0.11959082610802,0.0500825318503512,0,0.0825261861637744,0.0198132908031434,0,0.00945011116111535,0.0407314092073439,0,0.65752865571472,4.88475829745188,"High"
"TCGA-44-7667-01A-31R-2066-07",NA,0.0105686439568639,0.0258260348107321,0.0252108816606839,0,0.0375863264440171,0.0180657336219363,0,0.00437673482373954,0.0251677030714533,0.0658599192705555,0.787338022340018,4.10379707826109,"Low"
"TCGA-44-7669-01A-21R-2066-07",NA,0.0400728114609449,0.0662076828018936,0.0486536438422819,0,0.0604842604713604,0.0291908581836698,0,0.0134254876664857,0.0435094632937759,0.0192421822466841,0.679213610032904,4.43015199080435,"Low"
