"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055078","sodium ion homeostasis","11/806","43/18842",0.255813953488372,5.98020659010907,6.91136126839498,1.34357476110704e-06,0.000121347740009253,0.000121347740009253,"FXYD1/SCNN1B/SCNN1G/CYP4F2/CHP2/FXYD4/NPPB/CYP4F12/SLC9A3/ATP12A/TMPRSS3",11
"GO:0022600","digestive system process","16/806","91/18842",0.175824175824176,4.1102718621329,6.28718461525938,1.39848701799542e-06,0.000123299938753263,0.000123299938753263,"ABCG8/PRAP1/AKR1C1/CHRM3/NEUROD1/NPPC/IL17A/HEPH/TFF1/SOX9/SLC5A1/NPSR1/TFF2/NR1I2/NPC1L1/MUC6",16
"GO:0034308","primary alcohol metabolic process","17/806","106/18842",0.160377358490566,3.74916896858467,6.00019423393195,2.48849340976676e-06,0.000214299792938751,0.000214299792938751,"CYP3A7/CYP2C18/CYP3A4/SULT1E1/SULT1B1/CYP1A1/AKR1C1/ADH1A/BMP6/TKTL1/RDH5/CYP3A5/ADH6/AKR1C3/HAO1/ADH4/CYP21A2",17
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","20/806","142/18842",0.140845070422535,3.29255932618041,5.79686697391036,2.70966608089908e-06,0.000228043034035666,0.000228043034035666,"RPL39/KLK5/TAC1/RNASE7/IL17A/F2/DEFB4A/SPINK5/NPPB/CALCA/DEFA5/KNG1/BPIFA1/NTS/S100A7/ELANE/KLK7/PGC/CXCL14/REG3A",20
"GO:0120316","sperm flagellum assembly","11/806","47/18842",0.234042553191489,5.47125283775936,6.48793328049878,3.47907648558365e-06,0.000286289338358139,0.000286289338358139,"CFAP58/CFAP65/CFAP47/LRRC46/CFAP206/DNAH12/CFAP53/FSIP2/DRC7/DNAH3/CFAP43",11
"GO:0006959","humoral immune response","31/806","296/18842",0.10472972972973,2.44828482328482,5.3091389265945,4.22210838452248e-06,0.00033987972495406,0.00033987972495406,"RPL39/WFDC5/FGB/KLK5/TAC1/RNASE7/PI3/IGHE/IL17A/DAO/C6/F2/DEFB4A/C8A/SPINK5/NPPB/CALCA/DEFA5/KNG1/BPIFA1/NTS/S100A7/ELANE/KLK7/PGC/PRSS2/PRSS3/WFDC12/CXCL14/REG3A/SPRR2A",31
"GO:0001523","retinoid metabolic process","15/806","89/18842",0.168539325842697,3.93997267683386,5.87695415823238,5.1294762936506e-06,0.000404137249263578,0.000404137249263578,"CYP3A7/CYP2C18/CYP3A4/CYP1A1/AKR1C1/ADH1A/UGT1A8/RDH5/CYP3A5/ADH6/AKR1C3/ADH4/CYP2W1/CYP26C1/RBP3",15
"GO:0098719","sodium ion import across plasma membrane","9/806","32/18842",0.28125,6.5748294044665,6.67208477563779,5.29513472240388e-06,0.000407239364949401,0.000407239364949401,"SCNN1B/SCNN1G/SLC9A2/HCN1/PCSK9/SLC5A1/SLC9A3/SLC9A4/SLC9C2",9
"GO:0006721","terpenoid metabolic process","17/806","112/18842",0.151785714285714,3.54832063098192,5.71799241952955,5.38880067040796e-06,0.000407239364949401,0.000407239364949401,"CYP3A7/CYP2C18/CYP3A4/CYP1A1/AKR1C1/CYP2C19/ADH1A/CYP2C9/UGT1A8/RDH5/CYP3A5/ADH6/AKR1C3/ADH4/CYP2W1/CYP26C1/RBP3",17
"GO:0007156","homophilic cell-cell adhesion","22/806","177/18842",0.124293785310734,2.90563710027898,5.38470874741876,7.11246251638128e-06,0.000526748973963198,0.000526748973963197,"CDH17/DSCAM/PSG5/CDH18/CEACAM5/CDH7/CDH16/RET/PCDHB1/DSG3/PCDH19/DSC3/CDHR2/CDHR4/CDHR5/IGSF11/CEACAM18/DSG4/DCHS2/PTPRT/SDK2/DSC1",22
"GO:0042373","vitamin K metabolic process","6/806","13/18842",0.461538461538462,10.7894636380989,7.46390887175826,7.9713612629881e-06,0.00057878334817343,0.00057878334817343,"CYP4F2/CBR3/CYP4F8/CYP4F12/CYP4F3/CBR1",6
"GO:0016101","diterpenoid metabolic process","15/806","93/18842",0.161290322580645,3.7705114864324,5.66189429700718,8.9561924865085e-06,0.000637784245721942,0.000637784245721942,"CYP3A7/CYP2C18/CYP3A4/CYP1A1/AKR1C1/ADH1A/UGT1A8/RDH5/CYP3A5/ADH6/AKR1C3/ADH4/CYP2W1/CYP26C1/RBP3",15
