"Gene","Beta","HR","Pvalue","FDR"
"RPL34P22",-0.969889344296229,0.37912498812473,0.00158287229978249,0.0582075767117369
"ALYREF",0.342926013761666,1.40906450668735,0.00158334158076814,0.0582075767117369
"RRM1",0.403088443269187,1.49643923578918,0.00158369512366315,0.0582075767117369
"LINC01354",-0.439571735001253,0.644312298410295,0.00158383749602321,0.0582075767117369
"EAF2",-0.392106255544616,0.675632320466294,0.00158563168812429,0.0582355518239056
"TMC3-AS1",-0.390959350021252,0.676407651437097,0.00158692731140284,0.0582451914763324
"LMO3",-0.120417667643873,0.886550076097259,0.00158837231523343,0.0582602977512036
"RNA5SP283",0.849536133165928,2.33856181902279,0.00159234634503915,0.0583680868322022
"TMEM11",0.411799439671884,1.50953165380289,0.00159554402312304,0.0584472968470334
"ADAMTS7P3",-0.253580711695573,0.776017108740794,0.00159668647573293,0.058451166724623
"HMGN1P31",3.25240716521979,25.8524963067843,0.00159899939075007,0.0584827569702684
"AC027117.1",-0.158647187170965,0.853297360123108,0.00159962415297563,0.0584827569702684
"WARS1P1",-0.513299283870526,0.598517638122877,0.00160160658537171,0.0585106623847055
"AC023202.1",-0.680720273804064,0.506252220800766,0.00160381451552915,0.0585106623847055
"PSMA5",0.406246052332879,1.50117187386158,0.00160415343624694,0.0585106623847055
"MYO1H",-0.503909769663358,0.604163894308105,0.00160453888262301,0.0585106623847055
"ARHGAP9",-0.240640158267992,0.786124455884145,0.00160775579822538,0.0585900716746954
"C2orf92",-0.267171182515766,0.765542012840539,0.00160947379680504,0.0586147899022487
"OR1F1",0.40256529199645,1.49565657644087,0.00161216133859067,0.0586747628304633
"TRBV7-6",-0.423361171340545,0.65484208020436,0.00161423987095216,0.0586999525513411
"NKAPP1",-0.561180515343345,0.570535140651287,0.00161493590192866,0.0586999525513411
"CENPC",-0.586912077895486,0.55604164976076,0.00162195716761103,0.0588911628943999
"MIR1302-8",-1.03062010295754,0.356785648122378,0.00162228565302616,0.0588911628943999
"C19orf48",0.28124733302828,1.32478122557009,0.00162406715697256,0.0589178957795913
"AL512662.1",-0.356414965714603,0.700182008414978,0.00162581837701926,0.058943496349092
"RASGRF1",-0.141228176748173,0.868291165237769,0.00162852743816545,0.0590037679010383
"RPE65",0.293564202447593,1.34119928492286,0.00163692315178308,0.0592490956883083
"WDR4",0.456550959784689,1.57861986126904,0.00163835048344135,0.0592490956883083
"AL034550.2",-0.676109467054145,0.508591841582305,0.00163845147186875,0.0592490956883083
"AL031726.1",-0.782501614044875,0.457260689562858,0.00164256364027318,0.0593427899162355
"AL031595.1",-0.601148823099617,0.54818151062979,0.0016431477057479,0.0593427899162355
"PPIAP22",0.34858677754417,1.41706350687916,0.00164819700218084,0.0594278661867948
"CREBRF",-0.378917756847275,0.684601914170823,0.00164890834461299,0.0594278661867948
"PRKCE",-0.373311046203875,0.688451059448177,0.00164905091202168,0.0594278661867948
"AC021660.4",-0.706675705711453,0.493281287034728,0.00164971992660589,0.0594278661867948
"AC026202.2",-0.50474706443075,0.603658242759992,0.00165101928715603,0.0594366943376169
"UPK1B",0.0919072602985291,1.09626315024909,0.00165545510247853,0.0595385032537942
"MAOB",-0.189647989526394,0.827250283460588,0.00165595950585265,0.0595385032537942
"KRT18P28",0.456564840498997,1.57864177379242,0.00165871341122864,0.059579018614984
"CCT5",0.317145523630528,1.37320239078328,0.00166043023981207,0.059579018614984
"AC097376.3",-0.406752123159772,0.665809208531383,0.00166123960357298,0.059579018614984
"GLUD1P3",-0.432846906916033,0.648659789531509,0.00166131363102659,0.059579018614984
"LINC01031",-0.547360648338346,0.578474595157663,0.00166369553046689,0.0596265093614759
"GALNT11",-0.396443172312958,0.672708504083379,0.00166899665105741,0.0597628514315235
"AL390778.2",-0.410551535603942,0.66328432431464,0.00166961989152564,0.0597628514315235
"KIRREL3",0.207921918271183,1.23111703804915,0.00167124578710938,0.0597830916840599
"C19orf84",0.254285831407854,1.28954034272701,0.00167552338378864,0.059897694322379
"EIF5A",0.30417170744331,1.35550178585444,0.00167657445793802,0.059897694322379
"HTATIP2",0.306549119836807,1.3587282063459,0.00167871409118363,0.0599361530111263
"AC008124.1",-0.433552444058133,0.648202297365243,0.00168029656208475,0.0599546829013227
"AC007342.7",-0.402162890664347,0.668871783846921,0.00168344922530275,0.0600291799656341
"WHAMMP3",-0.369094640244333,0.691359976876899,0.00168588949251912,0.0600781959736145
"AC022880.1",5.67321021472997,290.96710359906,0.00168825194606826,0.0601243788449428
"MIEF1",0.547723205179165,1.72931124537949,0.00168932370835963,0.0601245665293449
"SPATA13",-0.367619314734036,0.692380710659735,0.00169149867395001,0.0601463455080765
"AL161757.2",-0.714707735956276,0.489335105956091,0.00169206939080122,0.0601463455080765
"PPM1K",-0.330722269732281,0.718404664056065,0.00169711617809239,0.0602685063497003
"SLC46A3",-0.262859362833171,0.768850018596378,0.00169764417630417,0.0602685063497003
"KLRK1",-0.374639970174554,0.687536767979117,0.00169947724237747,0.0602759517933387
"AC022400.4",-0.426570515257504,0.652743835553015,0.00169999225470783,0.0602759517933387
"TUBAL3",0.227798723427826,1.2558325303254,0.00170306673572913,0.0603470083554153
"TRBV23-1",-0.525592733077384,0.591204833831036,0.00170457528922364,0.0603616089055524
"PSMB7",0.434847085602453,1.54472682991782,0.00170600471479374,0.0603616089055524
"AC093752.1",-0.403270433056264,0.668131390075981,0.00170774317713909,0.0603616089055524
"HMGN3",-0.322365399021124,0.724433434694217,0.00170853804185057,0.0603616089055524
"AL132775.1",-0.69692043444175,0.49811692794774,0.00170897587628476,0.0603616089055524
"RPP25",0.278515426152559,1.32116698576227,0.00170990296264664,0.0603616089055524
"AC007610.4",-0.521686831943523,0.59351853706839,0.0017125022804714,0.0603936242862956
"KIAA1671-AS1",-0.367299659938422,0.692602068851507,0.00171295241297337,0.0603936242862956
"FAAH",-0.268965632888808,0.764169517495702,0.00171545608963245,0.0604440953181995
"CMAS",0.346567629668091,1.41420513282006,0.00172137064455764,0.0606146105294076
"TIMELESS",0.276189570996197,1.31809771344108,0.00172724318214283,0.060737585342662
"TRBV1",-1.11080768637753,0.329292888257895,0.00172741296072339,0.060737585342662
"Z97832.2",-0.319851384547047,0.726256962061209,0.00172809505622304,0.060737585342662
"AC040168.1",-0.5719868451473,0.564402942708098,0.00173014913570144,0.0607718926319652
"AC104984.3",-0.804064004026677,0.447506594963742,0.00173300645576753,0.0608343536428082
"IGHJ5",-0.267730311679817,0.765114095616501,0.00173438791313181,0.0608449614130175
"LINC01281",-0.353823374586145,0.701998947260657,0.00173698406319604,0.0608981427529479
"AC015961.2",-0.481376632685584,0.617932140428354,0.0017388448858724,0.0609143697687268
"AC009299.2",-0.523455428640782,0.592469769840469,0.00173960790633692,0.0609143697687268
"CCR7",-0.195796139440882,0.822179827634167,0.00174226037574139,0.0609422752014935
"AC012020.1",-0.299367594426793,0.741286866424681,0.00174306458079145,0.0609422752014935
"RNF175",-0.274260691658447,0.760133888865104,0.00174465095277863,0.0609422752014935
"GPC4",-0.192363020269345,0.825007319744413,0.00174472882388269,0.0609422752014935
"AC104024.3",0.453778942811926,1.57424995973889,0.00174698514736278,0.0609833031998293
"AL162586.1",-0.261123534776455,0.770185769011192,0.00175137130121905,0.0610985819786666
"PCNAP4",0.483664781821825,1.62200782799949,0.00175435417845167,0.0611304336976576
"SMIM35",-0.423114605818349,0.655003561590874,0.00175445298926511,0.0611304336976576
"LINC02655",1.91640171047087,6.79645879075492,0.00175979264705839,0.0612413026501413
"EZH1",-0.466395210914501,0.627259335319006,0.00176137014982309,0.0612413026501413
